filename,si_sdr_noisy,si_sdr_denoised,improvement
p232_300.wav,15.2522,21.4363,+6.1840
p232_301.wav,10.2867,19.8675,+9.5808
p232_302.wav,5.2944,12.1032,+6.8088
p232_303.wav,1.7402,8.5896,+6.8495
p232_305.wav,15.9757,22.5535,+6.5778
p232_306.wav,10.7824,17.0854,+6.3031
p232_307.wav,7.1724,14.5137,+7.3413
p232_308.wav,0.3166,9.9234,+9.6068
p232_309.wav,16.2361,26.6715,+10.4354
p232_310.wav,10.0004,20.5954,+10.5949
p232_311.wav,5.6751,20.8270,+15.1519
p232_312.wav,1.3746,20.2005,+18.8259
p232_313.wav,15.9452,22.4280,+6.4828
p232_314.wav,10.6146,19.2457,+8.6311
p232_315.wav,5.0936,18.4821,+13.3886
p232_316.wav,0.3779,13.2858,+12.9079
p232_317.wav,15.9863,21.7393,+5.7530
p232_318.wav,11.1756,21.8827,+10.7071
p232_319.wav,6.2265,22.3423,+16.1159
p232_320.wav,0.8307,17.2814,+16.4507
p232_321.wav,16.2991,24.0388,+7.7396
p232_322.wav,11.3701,18.9623,+7.5923
p232_323.wav,6.0198,14.2998,+8.2800
p232_324.wav,1.2712,11.4108,+10.1396
p232_325.wav,15.3698,21.6393,+6.2694
p232_326.wav,10.4552,15.9263,+5.4711
p232_327.wav,6.2297,15.5583,+9.3286
p232_328.wav,1.2910,8.1051,+6.8142
p232_329.wav,15.7989,25.5564,+9.7575
p232_330.wav,10.3632,22.1457,+11.7825
p232_331.wav,5.8767,27.0568,+21.1801
p232_332.wav,0.6348,20.2419,+19.6071
p232_333.wav,15.5551,23.0910,+7.5358
p232_334.wav,11.4884,20.4473,+8.9589
p232_335.wav,5.8556,16.5797,+10.7242
p232_336.wav,0.8439,12.2006,+11.3566
p232_337.wav,16.4165,24.0006,+7.5841
p232_338.wav,11.0741,16.7624,+5.6882
p232_339.wav,4.6621,17.1653,+12.5032
p232_340.wav,-0.1912,19.2444,+19.4355
p232_341.wav,16.3389,19.8612,+3.5224
p232_342.wav,11.4165,14.7291,+3.3127
p232_343.wav,6.1766,15.2569,+9.0803
p232_344.wav,0.2901,9.0246,+8.7346
p232_346.wav,15.8650,22.3336,+6.4686
p232_347.wav,11.6886,17.5938,+5.9052
p232_348.wav,6.3678,12.8783,+6.5105
p232_349.wav,1.3999,11.5704,+10.1705
p232_350.wav,15.3650,28.3689,+13.0039
p232_351.wav,10.5243,23.0100,+12.4856
p232_352.wav,5.7091,21.3481,+15.6390
p232_353.wav,1.0431,19.1454,+18.1023
p232_354.wav,15.4194,20.4781,+5.0588
p232_355.wav,11.5110,20.1581,+8.6471
p232_356.wav,6.5041,16.7198,+10.2157
p232_357.wav,1.0608,14.8463,+13.7855
p232_358.wav,15.5159,21.2191,+5.7033
p232_359.wav,9.9745,21.7284,+11.7539
p232_360.wav,6.3456,19.1212,+12.7756
p232_361.wav,0.4511,18.5799,+18.1288
p232_362.wav,16.3850,21.4168,+5.0318
p232_363.wav,11.5991,19.1656,+7.5665
p232_364.wav,6.1009,16.2216,+10.1207
p232_365.wav,0.9203,13.2951,+12.3748
p232_366.wav,15.8219,20.8102,+4.9883
p232_367.wav,10.6314,19.6748,+9.0434
p232_368.wav,5.8615,17.1383,+11.2768
p232_369.wav,1.6450,13.0583,+11.4133
p232_370.wav,15.3257,25.1095,+9.7838
p232_371.wav,10.5349,24.2472,+13.7123
p232_372.wav,6.5736,19.6794,+13.1058
p232_373.wav,1.5399,20.0888,+18.5490
p232_374.wav,16.4300,21.8282,+5.3981
p232_375.wav,11.2138,18.6076,+7.3938
p232_377.wav,6.4063,18.5604,+12.1541
p232_378.wav,1.5928,13.7098,+12.1171
p232_379.wav,16.2542,23.2648,+7.0106
p232_380.wav,11.4576,21.1189,+9.6613
p232_381.wav,5.8276,20.2686,+14.4409
p232_382.wav,0.7212,18.5226,+17.8014
p232_383.wav,15.4050,21.0638,+5.6588
p232_384.wav,10.5875,17.2636,+6.6761
p232_385.wav,6.3979,16.7215,+10.3237
p232_386.wav,0.9963,7.9939,+6.9977
p232_387.wav,16.5414,19.7471,+3.2057
p232_388.wav,11.7969,17.7636,+5.9667
p232_389.wav,6.6193,17.3594,+10.7401
p232_390.wav,0.7154,10.3409,+9.6254
p232_391.wav,15.5373,24.0791,+8.5418
p232_392.wav,11.5600,24.1299,+12.5699
p232_393.wav,6.5480,22.0285,+15.4805
p232_394.wav,1.5166,21.7232,+20.2067
p232_396.wav,15.6547,20.0606,+4.4059
p232_397.wav,11.4856,20.4575,+8.9719
p232_398.wav,6.4793,17.9480,+11.4688
p232_399.wav,1.0459,13.9874,+12.9415
p232_400.wav,16.3225,24.6532,+8.3307
p232_402.wav,5.7282,15.2218,+9.4936
p232_403.wav,11.7219,19.0701,+7.3481
p232_404.wav,15.5743,22.0185,+6.4442
p232_405.wav,6.2343,18.5208,+12.2865
p232_407.wav,0.2788,9.1411,+8.8622
p232_409.wav,1.3199,13.7331,+12.4132
p232_410.wav,6.5372,18.8601,+12.3229
p232_411.wav,14.6531,23.8634,+9.2103
p232_412.wav,11.6457,18.8517,+7.2060
p232_413.wav,10.9783,25.5365,+14.5582
p232_414.wav,0.5588,13.7309,+13.1721
p232_415.wav,0.9630,10.1185,+9.1554
p257_001.wav,16.2140,17.5955,+1.3815
p257_002.wav,11.3212,16.8519,+5.5307
p257_003.wav,6.9979,16.1356,+9.1377
p257_004.wav,1.4411,16.2562,+14.8151
p257_006.wav,16.8926,20.7125,+3.8199
p257_007.wav,11.6553,15.7542,+4.0988
p257_008.wav,7.0697,12.5750,+5.5053
p257_009.wav,1.7493,11.6990,+9.9497
p257_010.wav,16.2528,22.3282,+6.0754
p257_011.wav,11.9509,20.2645,+8.3136
p257_012.wav,6.7217,16.8470,+10.1253
p257_013.wav,1.7216,9.4692,+7.7476
p257_014.wav,16.5257,23.3014,+6.7758
p257_015.wav,11.8778,21.3800,+9.5022
p257_016.wav,6.9736,19.4309,+12.4573
p257_017.wav,1.5881,16.8504,+15.2623
p257_018.wav,16.8296,21.4424,+4.6129
p257_019.wav,12.0517,19.1469,+7.0952
p257_020.wav,6.3758,17.8012,+11.4254
p257_022.wav,1.8374,17.0378,+15.2003
p257_023.wav,17.0968,22.1485,+5.0518
p257_024.wav,11.8921,21.1450,+9.2529
p257_025.wav,6.0774,18.5077,+12.4303
p257_026.wav,0.5442,12.2934,+11.7492
p257_027.wav,16.6878,20.3055,+3.6177
p257_028.wav,11.3830,15.4367,+4.0537
p257_029.wav,5.7777,14.8800,+9.1024
p257_030.wav,1.4222,14.2084,+12.7862
p257_031.wav,15.1631,18.2146,+3.0515
p257_032.wav,11.0745,16.0749,+5.0004
p257_033.wav,5.6089,12.2349,+6.6259
p257_034.wav,0.8572,14.0277,+13.1705
p257_035.wav,16.4110,22.2997,+5.8887
p257_036.wav,10.0634,19.1461,+9.0827
p257_037.wav,5.5038,15.9500,+10.4462
p257_038.wav,2.0057,16.9153,+14.9096
p257_039.wav,16.2933,20.8871,+4.5937
p257_040.wav,11.2356,17.2845,+6.0489
p257_041.wav,7.3408,12.6542,+5.3133
p257_042.wav,-0.6673,15.0021,+15.6694
p257_043.wav,15.6804,21.7309,+6.0506
p257_044.wav,10.4149,18.3445,+7.9296
p257_045.wav,4.7905,12.5130,+7.7225
p257_046.wav,2.1095,12.2051,+10.0957
p257_047.wav,16.1146,20.8002,+4.6856
p257_048.wav,10.9793,16.4902,+5.5109
p257_049.wav,6.8524,16.1406,+9.2883
p257_050.wav,0.1886,11.1033,+10.9147
p257_051.wav,16.9010,19.7368,+2.8359
p257_052.wav,10.6951,18.7982,+8.1031
p257_053.wav,5.9149,12.6471,+6.7323
p257_054.wav,0.9730,11.4842,+10.5111
p257_055.wav,16.0604,18.8251,+2.7646
p257_056.wav,10.0946,19.3888,+9.2942
p257_057.wav,6.4340,19.5755,+13.1415
p257_058.wav,0.4213,17.8492,+17.4279
p257_059.wav,16.6810,21.3630,+4.6820
p257_060.wav,10.3968,18.1411,+7.7443
p257_061.wav,5.3178,13.7080,+8.3902
p257_062.wav,1.1356,15.1222,+13.9866
p257_063.wav,15.6216,18.6664,+3.0448
p257_064.wav,10.1838,18.7043,+8.5205
p257_065.wav,6.1116,14.8319,+8.7203
p257_066.wav,0.7351,15.8947,+15.1596
p257_067.wav,15.4662,19.3765,+3.9103
p257_068.wav,9.9345,16.4435,+6.5090
p257_069.wav,6.8429,11.4189,+4.5760
p257_070.wav,1.5877,8.4130,+6.8252
p257_071.wav,16.7238,19.3718,+2.6480
p257_072.wav,10.7107,15.5918,+4.8811
p257_073.wav,6.2367,16.4817,+10.2450
p257_074.wav,0.6386,9.3771,+8.7386
p257_075.wav,15.3386,22.9380,+7.5993
p257_076.wav,10.6500,20.2933,+9.6433
p257_077.wav,5.5804,17.8487,+12.2682
p257_078.wav,1.4147,17.3849,+15.9703
p257_079.wav,16.3604,19.9590,+3.5985
p257_080.wav,11.5299,18.7826,+7.2526
p257_081.wav,5.0343,14.9975,+9.9632
p257_082.wav,0.9576,14.4921,+13.5345
p257_083.wav,16.0537,20.2190,+4.1653
p257_084.wav,11.3513,19.0066,+7.6554
p257_085.wav,6.7005,17.2493,+10.5488
p257_086.wav,1.3486,14.5974,+13.2488
p257_087.wav,16.0730,19.0856,+3.0127
p257_088.wav,11.6413,17.3652,+5.7239
p257_089.wav,6.4571,14.9872,+8.5302
p257_090.wav,0.1928,8.1235,+7.9307
p257_091.wav,15.8179,19.7643,+3.9463
p257_092.wav,9.6330,15.0302,+5.3972
p257_093.wav,4.5803,11.5831,+7.0027
p257_094.wav,-0.6769,11.0146,+11.6914
p257_095.wav,16.5453,21.4844,+4.9391
p257_096.wav,10.2154,17.4855,+7.2701
p257_097.wav,5.9967,18.3733,+12.3766
p257_098.wav,-0.7279,16.0523,+16.7801
p257_099.wav,15.7976,21.0521,+5.2545
p257_100.wav,10.0994,18.2144,+8.1150
p257_101.wav,6.4318,16.8673,+10.4355
p257_102.wav,1.2148,14.3585,+13.1438
p257_103.wav,15.8704,21.7070,+5.8366
p257_104.wav,10.9399,18.7390,+7.7991
p257_105.wav,5.8357,16.9279,+11.0922
p257_106.wav,1.5174,15.4187,+13.9014
p257_107.wav,15.8157,19.1814,+3.3657
p257_108.wav,10.6917,17.1953,+6.5036
p257_109.wav,6.4898,14.8911,+8.4013
p257_110.wav,2.2555,11.9133,+9.6578
p257_111.wav,16.7142,18.5368,+1.8226
p257_112.wav,11.0137,16.7179,+5.7042
p257_113.wav,5.8171,13.6593,+7.8421
p257_114.wav,0.8387,9.9050,+9.0663
p257_115.wav,16.1302,21.4200,+5.2898
p257_116.wav,11.7423,20.4660,+8.7237
p257_117.wav,6.4615,17.5998,+11.1383
p257_118.wav,1.6734,19.1655,+17.4922
p257_119.wav,16.2363,19.0764,+2.8401
p257_120.wav,10.0216,16.3241,+6.3025
p257_121.wav,6.5577,16.0663,+9.5086
p257_122.wav,0.3547,13.3509,+12.9962
p257_123.wav,15.7019,22.0590,+6.3570
p257_124.wav,10.2634,16.8394,+6.5759
p257_125.wav,4.9073,15.0485,+10.1411
p257_126.wav,0.2501,12.9518,+12.7017
p257_127.wav,16.3455,21.0327,+4.6872
p257_128.wav,11.3094,17.2948,+5.9854
p257_129.wav,6.3713,13.9473,+7.5760
p257_130.wav,1.1726,9.2860,+8.1134
p257_131.wav,15.1956,19.5467,+4.3511
p257_132.wav,11.6830,18.6580,+6.9750
p257_133.wav,5.8005,14.2665,+8.4660
p257_135.wav,1.5774,10.8624,+9.2850
p257_136.wav,16.0258,21.2077,+5.1820
p257_137.wav,10.8744,18.9231,+8.0487
p257_138.wav,5.7326,18.4748,+12.7423
p257_139.wav,0.1359,17.8727,+17.7368
p257_140.wav,15.5117,18.5799,+3.0682
p257_141.wav,10.9337,20.4726,+9.5389
p257_142.wav,6.4644,16.4869,+10.0225
p257_143.wav,1.3034,14.1905,+12.8871
p257_144.wav,17.0701,18.6132,+1.5431
p257_145.wav,11.9952,16.3619,+4.3667
p257_146.wav,6.0729,15.0864,+9.0135
p257_147.wav,1.7254,13.0736,+11.3482
p257_148.wav,16.4518,18.7248,+2.2730
p257_149.wav,11.1879,17.7367,+6.5488
p257_150.wav,6.0223,14.2831,+8.2609
p257_151.wav,1.1431,8.1717,+7.0286
p257_152.wav,15.5912,19.7975,+4.2063
p257_153.wav,10.9469,16.6303,+5.6834
p257_154.wav,7.1825,13.0815,+5.8990
p257_155.wav,0.8059,7.9379,+7.1320
